Name,Type 1,Type 2,Level,Health,MP,SP,VIT,AGI,SPD,MEN,Stamina,IP Stun,IP Cancel Stun,Evasion Still %,Evasion Moving %,Fire Resist %,Wind Resist %,Earth Resist %,Lightning Resist %,Blizzard Resist %,Status Effect Resist Bitflag,Knockback Resist,Status Recovery Time,T_DMG,T_HEAL,Size,No Run,EXP,Skill Coins,Magic Coins,Gold Coins,Item 1,Item 2,Item 1 Chance,Item 2 Chance
        Right Hand,22,8,25,4600,0,480,164,105,40,80,288,10,50,0,0,-2,0,3,0,0,139,35,480,240,500,100,1,0,0,0,0,                  ,   Ancient Cuirass,0,100
        Right Hand,22,8,52,18000,0,600,352,105,40,369,288,10,20,0,0,0,0,0,0,0,137,35,480,240,500,100,1,0,0,0,0,                  ,     Golden Potion,0,100
         Left Hand,23,8,25,4600,0,480,155,125,40,90,288,10,50,0,0,4,0,0,0,-4,138,35,480,240,500,100,1,0,0,0,0,                  ,       Revival Gem,0,100
         Left Hand,23,8,52,18000,0,600,352,125,40,369,288,10,20,0,0,0,0,0,0,0,136,35,480,240,500,100,1,0,0,0,0,                  ,   Potion of Azure,0,100
              Head,24,8,25,5300,880,360,109,88,40,165,288,10,50,0,0,0,0,0,0,0,172,35,360,300,500,100,1,0,0,0,800,                  ,                  ,0,0
              Head,24,8,52,12000,880,360,684,160,40,578,288,10,20,0,0,0,0,0,0,0,42,35,360,300,500,100,1,0,0,0,0,                  ,     Indigo Potion,0,100
   Valmar's Tongue,21,8,25,8500,360,880,133,140,40,153,288,10,50,0,0,-4,0,0,0,3,222,35,240,420,500,200,1,500,1200,800,0,                  ,   Book of Wizards,0,100
   Valmar's Tongue,21,8,52,27000,360,880,261,140,40,137,288,10,20,0,0,0,0,0,0,0,222,35,240,420,500,200,1,3000,4000,1000,0,                  ,   Starlight Tiara,0,100
     Right Tendril,27,8,30,8500,0,900,176,148,40,125,288,10,50,0,0,0,0,0,0,0,140,30,480,240,500,90,1,0,0,0,0,                  ,        Warp Knife,0,100
     Right Tendril,27,8,53,25000,0,900,247,148,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,500,90,1,0,0,0,0,                  ,     Indigo Potion,0,100
      Left Tendril,28,8,30,8500,0,900,176,110,40,125,288,10,50,0,0,0,0,0,0,0,138,30,480,240,500,90,1,0,0,0,0,                  ,       Gravity Egg,0,100
      Left Tendril,28,8,53,25000,0,900,247,132,40,213,288,10,20,0,0,0,0,0,0,0,136,30,60,420,500,90,1,0,0,0,0,                  ,   Potion of Azure,0,100
       Eyeball Bat,29,8,30,4000,0,450,151,175,110,140,192,15,50,0,0,0,0,5,0,0,145,5,360,360,500,70,1,0,0,0,300,                  ,                  ,0,0
       Eyeball Bat,29,8,53,25000,0,560,224,274,100,235,192,10,20,0,0,0,0,0,0,0,16,5,360,360,500,70,1,0,0,0,0,                  ,    Scarlet Potion,0,100
      Valmar's Eye,26,8,30,16000,900,1300,190,181,40,145,288,10,50,0,0,0,0,8,0,0,254,30,300,360,500,200,1,800,1800,1800,0,                  ,     Demon's Tears,0,100
      Valmar's Eye,26,8,53,25000,900,1300,281,181,40,186,288,10,20,0,0,0,0,0,0,0,254,30,300,480,500,200,1,3000,4000,1000,0,                  ,       Queen Heels,0,100
         Right Arm,32,8,35,10000,500,600,352,139,50,95,288,10,30,0,0,0,0,-3,0,7,154,40,480,240,500,90,1,0,0,0,0,                  ,     Mana Insignia,0,100
          Left Arm,33,8,35,11000,660,550,234,157,50,237,288,10,30,0,0,0,0,-7,5,0,188,40,480,240,500,90,1,0,0,0,2100,                  ,                  ,0,0
     Valmar's Claw,31,8,35,16000,590,1100,273,177,50,158,288,10,30,0,0,0,0,-5,0,0,254,40,240,480,500,170,1,1000,2400,1200,0,                  ,     Book of Gales,0,100
             Sword,37,8,40,14000,0,0,576,125,450,110,96,10,30,0,0,-3,-3,-3,-3,-3,223,25,360,540,500,70,1,0,0,0,0,                  ,     Maken Valborg,0,100
             Sword,37,8,40,11000,0,0,999,150,150,999,192,10,30,100,0,0,7,0,0,0,255,4121,360,540,500,70,1,0,0,0,0,                  ,                  ,0,0
       Regenerator,38,8,40,17000,650,0,192,170,450,508,96,10,30,0,0,0,0,0,0,0,184,25,240,540,500,60,1,0,0,0,0,                  ,    Book of Swords,0,100
       Regenerator,38,8,40,13000,600,0,999,174,150,999,192,10,30,100,0,0,0,3,-3,0,255,4121,240,540,500,60,1,0,0,0,0,                  ,                  ,0,0
           Melfice,36,8,40,20000,1000,1100,318,250,450,195,96,10,30,100,0,0,0,0,0,0,254,25,120,480,500,80,1,1500,3600,1800,0,                  ,     Soul of Asura,0,100
           Melfice,36,8,40,19000,840,950,999,316,150,999,192,10,30,100,0,5,-5,0,0,0,255,4121,120,480,500,80,1,0,0,0,0,                  ,                  ,0,0
    Right Tentacle,42,8,44,23000,0,0,330,300,0,200,192,15,30,0,0,6,0,-6,0,0,152,0,360,240,500,300,1,0,0,0,0,                  ,      Angel Circle,0,100
     Left Tentacle,43,8,44,23000,0,0,330,300,0,200,192,15,30,0,0,0,0,-3,0,8,152,0,360,240,500,300,1,0,0,0,4000,                  ,                  ,0,0
     Valmar's Body,41,8,44,35000,1500,1500,330,250,0,200,192,10,50,0,0,-2,0,0,3,0,254,0,300,300,500,300,1,1600,6000,6000,0,                  ,        Relief Tag,0,100
          Left Eye,48,8,45,20000,800,0,324,150,100,175,192,10,30,0,0,0,0,6,0,-4,168,30,240,300,500,90,1,0,0,0,0,                  ,  Goddess Hi-Heels,0,100
          Left Eye,48,8,54,20000,800,0,273,150,100,176,192,10,20,0,0,10,10,10,10,10,44,30,120,360,500,90,1,0,0,0,0,                  ,     Mystic Potion,0,100
         Right Eye,47,8,45,20000,800,0,293,250,100,155,192,10,30,0,0,-4,0,7,0,0,168,30,240,300,500,90,1,0,0,0,4500,                  ,                  ,0,0
         Right Eye,47,8,54,20000,800,0,338,250,100,155,192,10,20,0,0,10,10,10,10,10,44,30,120,360,500,90,1,0,0,0,0,                  ,   Potion of Azure,0,100
    Valmar's Heart,46,8,45,25000,0,1000,337,250,100,205,192,10,50,0,0,0,-4,5,0,2,254,30,240,360,500,220,1,1800,8000,8000,0,                  ,      Holy Clothes,0,100
    Valmar's Heart,46,8,54,25000,560,1200,308,250,100,215,192,10,20,0,0,10,10,10,10,10,255,30,120,360,500,220,1,3000,4000,1000,0,                  ,     Tenma's Dress,0,100
               Bit,52,8,48,6000,0,280,251,250,100,154,192,15,50,15,0,0,0,5,0,0,16,10,480,120,500,60,1,0,0,0,900,                  ,                  ,0,0
      Egg Guardian,51,8,48,40000,620,720,306,350,0,203,0,10,30,0,0,3,6,-6,0,0,246,0,180,420,500,120,1,2000,10000,10000,0,                  ,      Angel's Robe,0,100
       Middle Head,57,8,55,52000,0,900,459,110,30,336,288,0,15,0,0,2,0,0,5,0,251,50,150,360,500,60,1,0,0,0,0,                  ,                  ,0,0
        Right Head,59,8,55,40000,520,460,410,162,30,359,288,0,15,0,0,2,0,0,5,0,255,50,150,360,600,60,1,0,0,0,0,                  ,                  ,0,0
         Left Head,58,8,55,45000,520,460,392,214,30,329,288,0,15,0,0,2,0,0,5,0,249,50,150,360,500,60,1,0,0,0,0,                  ,                  ,0,0
